iter	Logloss
0	0.6846437988
1	0.6772417806
2	0.6697196859
3	0.6631074219
4	0.656109375
5	0.6497318522
6	0.6436886393
7	0.6379675293
8	0.6316038411
9	0.6257107747
10	0.6204338379
11	0.6151049398
12	0.6098059896
13	0.6046390788
14	0.6001316732
15	0.5954929199
16	0.5914129639
17	0.5872089437
18	0.5830681152
19	0.5790752767
20	0.575330485
21	0.5716340332
22	0.5684615885
23	0.5654864909
24	0.562144165
25	0.558851888
26	0.555933431
27	0.5531264648
28	0.5501981201
29	0.5471129557
30	0.5445499674
31	0.5418648275
32	0.5395512288
33	0.5369232992
34	0.5344871419
35	0.5322279053
36	0.5302650553
37	0.5282964681
38	0.5266536865
39	0.5246305745
40	0.5226759033
41	0.5207261556
42	0.518675415
43	0.5163725179
44	0.514625529
45	0.5130510254
46	0.510942098
47	0.5093269857
48	0.5078951823
49	0.5063214111
50	0.5047063802
51	0.5032220866
52	0.5017797038
53	0.5003854574
54	0.498802002
55	0.4974417318
56	0.4961760661
57	0.4948090007
58	0.4935718587
59	0.4924099528
60	0.4912750651
61	0.4900527344
62	0.4891105957
63	0.4878439128
64	0.4868745931
65	0.4859869792
66	0.4848819987
67	0.4838059082
68	0.4826744385
69	0.4817841797
70	0.4810812174
71	0.480101766
72	0.4792338867
73	0.4782724609
74	0.4774483236
75	0.4766826986
76	0.4761402995
77	0.4751527507
78	0.4744844971
79	0.473536377
80	0.4728045247
81	0.4721109619
82	0.4714048665
83	0.4705744629
84	0.4699169108
85	0.4693038737
86	0.4686634115
87	0.4679474284
88	0.4673059082
89	0.4667601725
90	0.4660831299
91	0.465319987
92	0.4646242676
93	0.4641442057
94	0.4637231445
95	0.4631402181
96	0.4625270182
97	0.4619676107
98	0.4613828125
99	0.4607255859
100	0.460116984
101	0.4595014648
102	0.45890861
103	0.4583915202
104	0.4580092773
105	0.4575169271
106	0.4571042074
107	0.4566098226
108	0.456255127
109	0.45593514
110	0.4554403076
111	0.4549200846
112	0.4544995931
113	0.453990804
114	0.4534388835
115	0.4531222331
116	0.452686849
117	0.4519831543
118	0.4515019531
119	0.4510544434
120	0.4505597331
121	0.4501529134
122	0.4497333984
123	0.4496257324
124	0.4492172852
125	0.4487938232
126	0.4483442383
127	0.4479932454
128	0.4475481771
129	0.4470789388
130	0.4467128499
131	0.4462832845
132	0.4460174561
133	0.4456492513
134	0.4453754069
135	0.4448765462
136	0.444453776
137	0.4441309408
138	0.4437473958
139	0.4433138428
140	0.4430292155
141	0.4425097656
142	0.4422624919
143	0.4419306641
144	0.441675415
145	0.4412565104
146	0.4409573975
147	0.4406275228
148	0.4403460286
149	0.4401534424
150	0.4398012288
151	0.4395060628
152	0.4391957601
153	0.438927002
154	0.4386714681
