iter	Passed	Remaining
0	3	3483
1	5	2535
2	6	2212
3	8	2068
4	9	1984
5	11	1917
6	13	1920
7	15	1915
8	17	1904
9	19	1909
10	21	1902
11	23	1893
12	25	1898
13	26	1884
14	28	1887
15	30	1890
16	32	1899
17	34	1892
18	36	1893
19	38	1893
20	40	1884
21	42	1878
22	44	1878
23	46	1881
24	48	1874
25	49	1869
26	51	1855
27	53	1849
28	55	1851
29	57	1853
30	58	1841
31	60	1835
32	62	1826
33	64	1818
34	65	1813
35	67	1807
36	68	1789
37	70	1779
38	71	1760
39	73	1758
40	74	1751
41	76	1745
42	78	1741
43	79	1737
44	81	1734
45	83	1736
46	85	1728
47	86	1722
48	88	1722
49	90	1723
50	92	1720
51	94	1718
52	95	1714
53	97	1711
54	99	1709
55	101	1704
56	102	1699
57	104	1698
58	106	1694
59	107	1689
60	109	1684
61	111	1682
62	112	1680
63	114	1679
64	116	1676
65	117	1665
66	119	1664
67	121	1663
68	123	1662
69	125	1660
70	126	1658
71	128	1657
72	130	1653
73	132	1655
74	133	1651
75	135	1647
76	137	1645
77	138	1641
78	140	1639
79	142	1636
80	143	1633
81	145	1630
82	147	1628
83	149	1625
84	150	1620
85	152	1621
86	154	1617
87	155	1614
88	157	1611
89	158	1607
90	160	1603
91	162	1599
92	163	1595
93	165	1595
94	167	1591
95	168	1588
96	170	1587
97	172	1586
98	174	1585
99	176	1585
100	177	1582
101	179	1583
102	181	1580
103	183	1578
104	185	1576
105	186	1573
106	188	1570
107	189	1567
108	191	1564
109	193	1564
110	195	1563
111	196	1560
112	198	1560
113	200	1561
114	202	1560
115	205	1563
116	207	1564
117	209	1564
118	211	1566
119	214	1570
120	216	1569
121	217	1566
122	220	1569
123	220	1560
124	223	1563
125	226	1569
126	227	1566
127	229	1566
128	231	1564
129	233	1563
130	235	1561
131	237	1560
132	238	1556
133	240	1554
134	241	1549
135	243	1547
136	245	1543
137	246	1540
138	248	1540
139	250	1539
140	252	1538
141	254	1538
142	256	1536
143	258	1534
144	259	1532
145	261	1531
146	263	1530
147	265	1529
148	267	1528
149	269	1527
150	271	1525
151	273	1524
152	274	1522
153	276	1520
154	279	1521
155	280	1517
156	282	1514
157	283	1512
158	285	1509
159	287	1507
160	288	1505
161	290	1502
162	292	1500
163	293	1496
164	295	1497
165	297	1495
166	299	1491
167	301	1491
168	302	1489
169	304	1487
170	306	1485
171	307	1482
172	309	1479
173	311	1477
174	312	1475
175	314	1472
176	316	1470
177	317	1467
178	319	1465
179	321	1463
180	323	1461
181	324	1458
182	326	1457
183	328	1455
184	329	1453
185	331	1452
186	333	1449
187	335	1447
188	336	1445
189	338	1442
190	340	1440
191	341	1437
192	343	1435
193	344	1433
194	346	1431
195	348	1429
196	350	1426
197	351	1424
198	353	1422
199	354	1418
200	356	1416
201	358	1415
202	360	1413
203	361	1411
204	363	1409
205	365	1408
206	367	1406
207	368	1403
208	370	1401
209	372	1400
210	373	1397
211	374	1392
212	376	1390
213	377	1388
214	379	1386
215	381	1384
216	383	1382
217	384	1379
218	386	1378
219	388	1377
220	390	1375
221	392	1374
222	393	1372
223	395	1369
224	397	1367
225	398	1365
226	400	1364
227	402	1363
228	404	1362
229	406	1359
230	407	1357
231	409	1355
232	411	1354
233	413	1352
234	414	1350
235	416	1348
236	418	1347
237	420	1345
238	422	1343
239	423	1342
240	425	1340
241	427	1338
242	428	1336
243	430	1335
244	432	1333
245	434	1331
246	436	1329
247	437	1327
248	439	1325
249	441	1323
250	442	1320
251	443	1316
252	445	1314
253	446	1312
254	448	1310
255	450	1308
256	452	1307
257	453	1305
258	455	1302
259	457	1301
260	458	1299
261	460	1297
262	462	1295
263	463	1293
264	465	1291
265	469	1294
266	470	1292
267	472	1290
268	474	1288
269	475	1286
270	476	1282
271	478	1280
272	480	1279
273	482	1277
274	484	1277
275	486	1275
276	487	1273
277	489	1271
278	491	1270
279	493	1268
280	495	1266
281	496	1265
282	498	1263
283	500	1261
284	502	1260
285	503	1258
286	505	1255
287	507	1254
288	509	1252
289	510	1250
290	512	1248
291	514	1247
292	516	1245
293	517	1243
294	519	1241
295	521	1239
296	522	1237
297	524	1235
298	526	1233
299	528	1232
300	530	1231
301	531	1229
302	533	1227
