iter	Passed	Remaining
0	2	2219
1	4	2208
2	6	2165
3	8	2116
4	10	2103
5	12	2132
6	14	2100
7	16	2103
8	19	2158
9	21	2142
10	23	2121
11	25	2113
12	27	2099
13	29	2077
14	31	2088
15	33	2068
16	35	2056
17	37	2037
18	39	2025
19	41	2029
20	43	2020
21	46	2050
22	48	2045
23	50	2036
24	51	2025
25	53	2019
26	56	2025
27	58	2023
28	60	2013
29	62	2017
30	64	2027
31	66	2018
32	68	2009
33	70	2007
34	72	1998
35	74	1991
36	76	1984
37	78	1995
38	80	1991
39	82	1986
40	84	1984
41	86	1979
42	88	1978
43	90	1972
44	92	1967
45	94	1963
46	96	1962
47	98	1956
48	100	1957
49	102	1954
50	104	1952
51	106	1936
52	108	1936
53	110	1933
54	112	1929
55	114	1926
56	116	1924
57	118	1919
58	119	1911
59	121	1906
60	123	1902
61	125	1899
62	127	1903
63	129	1898
64	131	1896
65	133	1893
66	135	1888
67	138	1894
68	140	1897
69	142	1897
70	144	1893
71	146	1891
72	148	1889
73	151	1889
74	153	1888
75	154	1883
76	156	1880
77	158	1879
78	161	1878
79	163	1876
80	165	1881
81	167	1877
82	169	1874
83	173	1887
84	175	1891
85	177	1888
86	179	1887
87	181	1884
88	183	1883
89	185	1877
90	188	1878
91	190	1879
92	192	1880
93	194	1877
94	196	1874
95	198	1873
96	200	1869
97	202	1867
98	205	1870
99	207	1871
100	210	1870
101	212	1867
102	214	1865
103	216	1862
104	218	1859
105	220	1857
106	222	1858
107	224	1856
108	226	1854
109	229	1855
110	231	1853
111	233	1850
112	235	1847
113	237	1844
114	239	1841
115	241	1839
116	243	1838
117	245	1835
118	247	1831
119	249	1830
120	251	1827
121	253	1826
122	255	1822
123	257	1820
124	259	1817
125	261	1814
126	263	1813
127	266	1812
128	268	1811
129	270	1809
130	272	1806
131	274	1804
132	276	1802
133	278	1798
134	280	1797
135	282	1793
136	284	1790
137	286	1789
138	287	1779
139	289	1776
140	291	1774
141	293	1771
142	295	1768
143	296	1765
144	298	1762
145	300	1759
146	303	1758
147	304	1755
148	307	1753
149	309	1751
150	310	1747
151	312	1745
152	314	1743
153	316	1740
154	318	1738
155	321	1736
156	322	1733
157	324	1731
158	327	1730
159	329	1729
160	331	1725
161	333	1723
162	335	1721
163	337	1719
164	339	1716
165	341	1714
166	343	1713
167	345	1711
168	347	1709
169	349	1706
170	352	1708
171	354	1708
172	357	1710
173	359	1708
174	362	1706
175	363	1704
176	365	1701
177	368	1699
178	369	1695
179	370	1687
180	372	1684
181	374	1683
182	376	1680
183	378	1678
184	380	1675
185	382	1673
186	384	1671
187	386	1668
188	388	1666
189	390	1663
190	392	1661
191	394	1659
192	397	1660
193	399	1658
194	401	1655
195	403	1655
196	405	1654
197	407	1652
198	409	1650
199	411	1647
200	413	1645
201	416	1644
202	418	1644
203	421	1643
204	422	1640
205	424	1637
206	427	1636
207	429	1633
208	430	1631
209	433	1628
210	435	1626
211	436	1624
212	439	1622
213	440	1619
214	442	1617
215	445	1615
216	447	1613
217	448	1610
218	450	1607
219	452	1605
220	454	1601
221	456	1599
222	458	1596
223	460	1594
224	462	1591
225	464	1589
226	466	1588
227	468	1585
228	470	1583
229	472	1581
230	474	1579
231	476	1577
232	478	1574
233	480	1572
234	482	1570
235	484	1568
236	486	1566
237	488	1564
238	490	1562
239	493	1561
240	495	1560
241	497	1557
242	499	1556
243	501	1554
244	503	1551
245	505	1549
246	507	1547
247	510	1546
248	512	1544
249	514	1542
250	516	1540
251	518	1539
252	521	1538
253	523	1536
254	525	1534
255	527	1532
256	528	1528
257	530	1524
258	532	1523
259	534	1521
260	536	1520
261	538	1517
262	540	1515
263	542	1513
264	544	1511
265	546	1508
266	549	1508
267	551	1506
268	553	1503
269	555	1502
270	557	1500
271	560	1498
272	561	1496
273	564	1494
274	566	1493
275	568	1491
276	570	1489
277	572	1487
278	574	1485
279	576	1483
280	578	1481
281	581	1480
282	583	1477
283	585	1476
284	587	1473
285	589	1471
286	591	1469
287	593	1467
288	594	1462
289	596	1459
290	598	1458
291	600	1456
292	602	1454
293	604	1452
294	607	1451
295	609	1449
