iter	Passed	Remaining
0	0	947
1	1	911
2	2	871
3	3	802
4	3	770
5	4	723
6	5	710
7	5	689
8	6	709
9	7	709
10	7	710
11	8	706
12	9	703
13	9	703
14	10	703
15	11	710
16	12	713
17	13	718
18	14	726
19	14	725
20	15	728
21	16	725
22	16	719
23	17	721
24	18	723
25	19	726
26	20	727
27	20	725
28	21	725
29	22	727
30	23	732
31	24	728
32	24	729
33	25	729
34	26	727
35	27	727
36	28	732
37	28	729
38	29	733
39	30	731
40	31	732
41	32	733
42	33	737
43	34	740
44	35	747
45	36	748
46	37	750
47	38	754
48	38	754
49	39	756
50	40	754
51	41	748
52	41	747
53	42	747
54	43	744
55	43	741
56	45	746
57	45	744
58	46	743
59	47	747
60	48	747
61	49	747
62	50	750
63	51	751
64	52	753
65	53	751
66	54	752
67	54	752
68	55	751
69	56	751
70	57	750
71	58	751
72	59	750
73	60	753
74	60	751
75	61	749
76	62	748
77	63	747
78	63	745
79	64	744
80	65	745
81	67	752
82	68	751
83	68	751
84	69	749
85	70	748
86	71	746
87	72	747
88	72	746
89	73	743
90	74	744
91	75	743
92	76	741
93	76	740
94	77	740
95	78	738
96	79	737
97	80	737
98	81	737
99	81	737
100	82	737
101	83	736
102	84	736
103	85	735
104	86	735
105	87	734
106	87	732
107	88	731
108	89	730
109	90	729
110	90	727
111	91	727
112	92	727
113	93	725
114	94	725
115	95	724
116	95	723
117	96	721
118	97	719
119	97	718
120	98	718
121	99	717
122	100	717
123	101	715
124	102	715
125	102	714
126	103	713
127	104	711
128	105	710
129	106	710
130	106	708
131	107	707
132	108	705
133	109	704
134	110	707
135	111	706
136	111	705
137	112	704
138	113	703
139	114	702
140	115	701
141	116	701
142	116	700
143	117	700
144	118	699
145	119	697
146	119	695
147	120	694
148	121	693
149	122	693
150	123	692
151	123	691
152	124	690
153	125	689
154	126	688
155	127	687
156	127	686
157	128	686
158	129	685
159	130	684
160	131	684
161	131	682
162	132	681
163	133	681
164	134	680
165	135	679
166	135	677
167	136	677
168	137	676
169	138	675
170	139	675
171	140	674
172	141	674
173	142	675
174	143	674
175	143	673
176	144	673
177	145	671
178	146	671
179	147	670
180	147	669
181	148	668
182	149	667
183	150	667
184	151	666
185	152	666
186	153	665
187	153	664
188	154	663
189	155	662
190	156	662
191	157	662
192	158	662
193	159	661
194	160	660
195	160	659
196	161	659
197	162	657
198	163	657
199	164	656
200	165	656
201	166	656
202	166	655
203	167	654
204	168	654
205	169	653
206	170	654
207	171	652
208	172	652
209	173	650
210	173	649
211	174	648
212	175	647
213	176	647
214	177	646
215	177	645
216	178	644
217	179	643
218	180	642
219	181	641
220	181	641
221	182	640
222	183	638
223	184	637
224	184	636
225	185	636
226	186	635
227	187	635
228	188	634
229	189	633
230	190	632
231	190	632
232	191	631
233	192	630
234	193	629
235	194	628
236	194	627
237	196	627
238	196	626
239	197	625
240	198	624
241	199	623
242	199	622
243	200	621
244	201	620
245	202	619
246	202	618
247	203	617
248	204	616
249	205	616
250	206	615
251	207	614
252	208	614
253	208	613
254	209	612
255	211	613
256	211	612
257	212	611
258	213	609
259	213	608
260	214	607
261	215	607
262	216	606
263	217	605
264	217	604
265	218	602
266	219	602
267	220	601
268	220	600
269	221	599
270	222	598
271	223	597
272	224	597
273	225	596
274	225	595
275	226	594
276	227	593
277	228	593
278	229	592
279	230	591
280	230	590
281	231	589
282	232	588
283	233	587
284	233	586
285	234	586
286	235	585
287	236	584
288	237	583
289	238	583
290	239	583
291	240	583
292	241	582
293	242	581
294	242	580
295	243	579
296	244	578
297	245	577
298	245	576
299	246	575
300	247	574
301	248	573
302	249	572
303	250	572
304	251	572
305	251	571
306	252	570
307	253	570
308	254	569
309	255	568
310	256	567
311	257	566
312	258	566
313	259	565
314	259	564
315	260	563
316	262	564
317	262	563
318	263	563
319	264	562
320	265	561
321	266	560
322	267	559
323	267	558
324	268	557
325	269	557
326	270	556
327	271	556
328	272	555
329	273	554
330	274	553
331	275	553
332	275	552
333	276	551
334	277	550
335	278	549
336	278	548
337	279	547
338	280	547
339	281	546
340	282	545
341	283	545
342	284	544
343	284	543
344	285	542
345	286	541
346	287	541
347	288	540
348	289	539
349	289	538
350	290	537
351	291	536
352	292	535
353	293	534
354	293	533
355	294	533
356	295	532
357	296	532
358	297	531
359	298	530
360	299	529
361	300	528
362	300	528
363	301	527
364	302	526
365	303	525
366	304	524
367	304	523
368	305	522
369	306	521
370	307	520
371	308	519
372	308	519
373	309	517
374	310	517
375	311	517
376	312	516
377	313	515
378	314	514
379	315	514
380	315	513
381	316	512
382	317	512
383	318	511
384	319	510
385	320	509
386	321	508
387	321	507
388	322	506
389	323	506
390	324	504
391	324	503
392	325	502
393	326	501
394	327	501
395	327	500
396	328	499
397	329	498
398	330	497
399	331	496
400	332	496
401	332	495
402	333	493
403	334	493
404	335	492
405	336	491
406	337	491
407	337	490
408	338	489
409	339	488
410	340	487
411	341	486
412	341	486
413	342	485
414	343	484
415	344	483
416	345	482
417	346	481
418	346	480
419	347	479
420	348	478
421	349	478
422	349	477
423	350	476
424	351	475
425	352	474
426	353	473
427	353	472
428	354	472
429	355	471
430	356	470
431	357	469
432	358	468
433	359	468
434	359	467
435	360	466
436	361	465
437	362	465
438	363	464
439	363	463
440	364	462
441	365	461
442	366	460
443	367	459
444	368	459
445	368	458
446	369	457
447	370	456
448	371	455
449	371	454
450	372	453
451	373	453
452	374	452
453	375	451
454	376	450
455	377	449
456	378	449
457	378	448
458	379	447
459	380	446
460	381	445
461	381	444
462	382	443
463	383	442
464	384	442
465	384	441
466	385	440
467	386	439
468	387	438
469	387	437
470	388	436
471	389	435
472	390	434
473	390	433
474	391	433
475	392	432
476	393	431
477	394	430
478	395	429
479	396	429
480	397	428
481	398	428
482	399	427
483	400	426
484	400	425
485	401	424
486	402	423
487	403	423
488	404	422
489	405	421
